# WITH scr AS (  SELECT DISTINCT observation::text AS observation_id,object::text AS sso_name  FROM sso.screening_output_raw  where "L" like 'Y' or "L" like 'D'),xmm AS (  SELECT    observation_id,    sso_name,    ra_deg_1, dec_deg_1,    ra_deg_2, dec_deg_2,    filter,    xmatch_type,    v_mag_1,    v_mag_1_corrected,    mlim_obs  FROM sso.xmm_om_unique WHERE filter = 'L') SELECT  x.observation_id,  x.sso_name,  x.ra_deg_1, x.dec_deg_1,  x.ra_deg_2, x.dec_deg_2,  x.filter,  x.xmatch_type,  x.v_mag_1,  x.v_mag_1_corrected,  x.mlim_obs FROM scr s JOIN xmm x  ON x.observation_id = s.observation_id AND x.sso_name       = s.sso_name; 
"observation_id";"sso_name";"ra_deg_1";"dec_deg_1";"ra_deg_2";"dec_deg_2";"filter";"xmatch_type";"v_mag_1";"v_mag_1_corrected";"mlim_obs"
"0781040101";Barbara;50.011715;0.46338347;50.32284;0.31945792;L;2;12.36;13.8442;20.696785
"0743010501";Ohio;346.1028;0.15892091;346.18143;0.14519955;L;4;15.56;17.0442;19.943396
"0803030301";Ada;257.42123;-24.233213;257.455;-24.233345;L;2;16.18;17.6642;20.112686
"0302352401";Aaltje;149.75444;2.0376306;149.79918;2.0355196;L;2;14.8;16.2842;20.291054
"0821871601";Transvaalia;342.0188;-22.215204;342.12317;-22.20173;L;2;15.22;16.7042;20.268137
"0821730101";Hilaritas;1.9118078;0.80626416;1.9468724;0.8206579;L;2;17.08;18.5642;20.059668
"0744500301";Deflotte;65.373856;19.482136;65.4893;19.49373;L;2;16.55;18.0342;20.455608
"0611181301";Solvejg;83.62468;21.971067;83.62883;21.973623;L;2;16.23;17.7142;19.626968
"0611181501";Solvejg;83.67155;21.989376;83.67962;21.988138;L;2;16.24;17.7242;20.580872
"0740920301";Tampere;189.99167;-5.2425995;190.04404;-5.2669373;L;2;17.28;18.7642;19.431232
"0405950101";Wells;171.26674;-13.057991;171.30545;-13.055931;L;2;16.55;18.0342;19.766872
"0801681301";Brouwer;267.38107;-28.530476;267.4505;-28.520363;L;2;16.59;18.0742;20.203415
"0305540501";Pobeda;246.701;-24.760162;246.98048;-24.853237;L;2;16.38;17.8642;21.516909
"0700182001";Landi;322.27206;-7.793743;322.3754;-7.771864;L;2;17.22;18.7042;20.549442
"0691070301";Weisell;272.57022;-19.679125;272.59232;-19.69136;L;2;16.45;17.9342;19.8031
"0110980101";Lucubratio;170.06161;13.668645;170.25316;13.580854;L;2;17.14;18.6242;20.251143
"0673002335";Dowling;352.51404;-1.0533836;353.17795;-0.76529545;L;3;19.19;20.6742;19.922955
"0160961001";Kaneko;83.614944;21.909878;83.63377;21.911007;L;2;17.22;18.7042;19.894526
"0803161101";Asteropaios;159.3042;-2.5558047;159.30394;-2.567429;L;2;18.04;19.5242;19.633095
"0300240101";Mucha;139.65082;16.330862;139.72375;16.316349;L;2;17.62;19.1042;20.044724
"0501270301";The;98.4076;17.725702;98.443306;17.726965;L;2;17.44;18.9242;20.213562
"0302580701";Chesneau;326.4374;4.212535;326.50232;4.446862;L;4;16.43;17.9142;20.226696
"0744490401";Gurzhij;338.88007;-12.779612;339.32846;-12.523151;L;2;18.26;19.7442;20.221659
"0670120401";Chrisclark;343.588;-17.584646;343.6382;-17.397612;L;2;18.13;19.6142;20.369955
"0760646601";"1991 CS";256.18265;-47.787766;255.81529;-49.09465;L;3;16.9;18.3842;20.476788
"0201902401";Richardbaum;312.04135;-17.95731;312.1351;-17.939861;L;2;17.67;19.1542;19.90227
"0412592501";"1996 UT";83.76607;21.908499;83.77202;21.908983;L;2;17.97;19.4542;19.299034
"0692330401";Ivanka;112.18933;33.894558;112.34965;33.930218;L;2;17.66;19.1442;20.75167
"0728980201";Olausgutho;151.68561;12.850109;151.87369;12.78802;L;2;19.61;21.0942;20.190025
"0148880101";Pesonen;143.07808;-11.071041;143.15459;-11.05193;L;2;18.93;20.4142;21.114185
"0691840101";Guericke;333.35062;-17.186514;333.76288;-16.972826;L;3;19.01;20.4942;20.335546
"0784401201";Jepejacobsen;126.58924;26.702383;126.680244;26.69026;L;2;17.43;18.9142;20.241419
"0303561001";Fredtreasure;192.5848;-23.538895;192.62386;-23.529533;L;2;16.43;17.9142;20.256231
"0673002347";"1981 EX26";351.8393;-0.87859577;352.49908;-0.5885451;L;3;18.71;20.1942;19.929981
"0801681001";"1991 SK2";267.35052;-30.198545;267.41754;-30.179098;L;2;18.58;20.0642;20.259472
"0605990501";"1998 FZ52";272.32047;-19.705824;272.3333;-19.702621;L;2;18.91;20.3942;19.66558
"0677610140";"1998 MN16";30.132433;-4.5725913;30.39163;-4.238744;L;4;17.95;19.4342;19.809097
"0783670101";Patrickdufour;341.4917;-5.4251013;341.6353;-5.36594;L;2;19.72;21.2042;20.6225
"0603980101";Benjaminlu;5.2943716;5.5752134;5.4851556;5.650688;L;4;19.69;21.1742;20.619598
"0793581001";Astrometria;35.346306;-4.130742;35.35124;-4.1197343;L;2;18.48;19.9642;20.400606
"0402070301";Henrylin;200.15645;-11.736624;200.41628;-11.835991;L;2;19.48;20.9642;20.430317
"0693820201";"2000 RX67";197.61902;-1.358278;197.81927;-1.4117829;L;2;18.74;20.2242;20.782482
"0603980101";Kardashev;3.3916037;5.6000853;3.6065955;5.6792502;L;2;18.8;20.2842;20.619598
"0720250801";"1989 AJ";191.11758;-11.931116;191.16841;-11.946742;L;2;19.6;21.0842;20.305458
"0203360701";"2000 AE149";150.4127;2.501;150.47028;2.465165;L;2;19.81;21.2942;20.546822
"0651770201";"2000 EF85";183.88443;-11.879962;184.07118;-12.023704;L;2;18.86;20.3442;20.415768
"0802200801";"1998 SM135";165.06418;9.969449;165.20471;9.921187;L;2;19.38;20.8642;19.924963
"0801680601";"2000 JC85";267.03726;-29.78195;267.10678;-29.793716;L;2;18.03;19.5142;20.275906
"0202730301";"1998 XN8";190.58603;14.317165;190.61578;14.256748;L;4;19.85;21.3342;20.492886
"0655090431";"1999 RL89";315.74164;-18.431547;315.84045;-18.371767;L;2;19.71;21.1942;20.886017
"0655090432";"1999 RL89";315.74164;-18.431547;315.84045;-18.371767;L;2;19.71;21.1942;20.686737
"0655090401";"1999 RL89";315.74298;-18.4305;315.8404;-18.371792;L;2;19.71;21.1942;20.945585
"0603980101";"1999 UX35";3.351043;5.5268273;3.6045234;5.6390986;L;2;20.09;21.5742;20.619598
"0780760201";"1999 TW207";42.33431;42.2853;42.590015;42.18258;L;4;19.18;20.6642;20.652039
"0793183801";Pluto;290.5976;-21.208502;290.59418;-21.210587;L;2;14.66;16.1442;21.213638
"0305541101";"2002 UM27";246.42761;-24.57359;246.92784;-24.645744;L;2;19.6;21.0842;21.435625
"0677690141";"2006 KP121";30.381132;-7.09505;31.09136;-7.2169237;L;2;18.55;20.0342;20.452381
"0677690140";"2006 KP121";30.381132;-7.09505;31.09136;-7.2169237;L;3;18.55;20.0342;20.360147
"0402360101";"2006 BQ6";27.57514;32.197796;20.135792;33.51657;L;3;15.85;17.3342;20.841488
